id,ucode_string,ucode_status,created_at,updated_at
1,KW3P1DT,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
2,32CZ66Q,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
3,7EHBLQO,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
4,RVZX4T4,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
5,4SD8BKJ,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
6,8EX99Q5,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
7,ZLAVUMK,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
8,E6IK8WT,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
9,BDW0RBI,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
10,U3QL8RS,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
11,P3ISEZP,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
12,245DYV8,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
13,GKDECG2,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
14,QMFLWVO,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
15,4K1SEVD,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
16,OEW1FKN,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
17,Q1RZGI1,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
18,LV1QBU9,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
19,L62J7ZL,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
20,A6IDOXO,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
21,LTJETFU,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
22,7RLLHK0,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
23,G5FM4B3,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
24,84P8CL7,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
25,5C98YSH,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
26,104Y5OJ,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
27,L7K0MF4,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
28,FVSXLC0,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
29,BJGBTMF,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
30,HPULIBV,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
31,4P2UJGI,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
32,CWW1YWW,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
33,Z2UY7L2,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
34,A07QR1L,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
35,8R5NEL2,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
36,Y1LA0L5,0,2022-05-19 14:51:19 UTC,2022-05-19 14:51:19 UTC
